,title,url,rate
80,洛克人大战 Rockman Strategy,https://www.douban.com/subject/30391452/,
81,圣女战旗 Banner of the maid,https://www.douban.com/subject/29971752/,7.2
82,大富翁3,https://www.douban.com/subject/10740733/,8.4
83,大富翁4,https://www.douban.com/subject/10739418/,9.2
84,大富翁4：超时空之旅,https://www.douban.com/subject/26575188/,9.4
85,大富翁5,https://www.douban.com/subject/26335508/,6.8
86,大富翁5：忍太郎之夺宝奇谋,https://www.douban.com/subject/34904925/,
87,大富翁6,https://www.douban.com/subject/10806204/,8.4
88,大富翁6：大家来抢钱 大富翁6plus：大家来抢钱,https://www.douban.com/subject/34904926/,0.0
89,大富翁7,https://www.douban.com/subject/26080286/,7.8
90,大富翁8,https://www.douban.com/subject/10955706/,7.8
91,霹雳大富翁,https://www.douban.com/subject/30267453/,0.0
92,哆啦A梦大富翁,https://www.douban.com/subject/10757796/,8.6
93,上海大富翁1940,https://www.douban.com/subject/26366301/,8.6
94,虚拟人生,https://www.douban.com/subject/20434178/,8.2
95,虚拟人生2,https://www.douban.com/subject/10740728/,7.8
96,虚拟人生外传 修罗战记,https://www.douban.com/subject/27181909/,7.2
97,虚拟人生3：成长恋曲,https://www.douban.com/subject/26369062/,7.9
98,虚拟人生4：快乐星猫,https://www.douban.com/subject/27182085/,
99,中国式家长,https://www.douban.com/subject/30330972/,7.5
100,疯狂医院,https://www.douban.com/subject/24530624/,7.8
101,少林足球 ShaoLinSoccer,https://www.douban.com/subject/26369537/,0.0
102,大明王朝1789 DaMing,https://www.douban.com/subject/35084069/,0.0
103,部落与弯刀,https://www.douban.com/subject/34909432/,7.3
104,黑荆棘角斗场 Blackthorn Arena,https://www.douban.com/subject/34966310/,6.8
105,抗日：血战上海滩 Shanghai Blood of War,https://www.douban.com/subject/10829696/,6.8
106,蓝色警戒  State of War,https://www.douban.com/subject/26368574/,6.9
107,大秦悍将 Great Qin Warriors,https://www.douban.com/subject/21345711/,7.8
108,艾希 ICEY,https://www.douban.com/subject/26916817/,7.7
109,暗影火炬城 F.I.S.T.: Forged In Shadow Torch,https://www.douban.com/subject/34783182/,8.0
110,迷雾侦探 Tales of the Neon Sea,https://www.douban.com/subject/30214643/,8.1
111,风来之国 Eastward,https://www.douban.com/subject/27016363/,8.2
112,我为歌狂：夏日彩虹 MUSIC UP,https://www.douban.com/subject/26412836/,0.0
113,恒水中学连环虐杀 the untold story of hengshui school,https://www.douban.com/subject/30214207/,9.0
114,来访者 Visitor,https://www.douban.com/subject/30272560/,6.7
115,寄居隅怪奇事件簿,https://www.douban.com/subject/30323766/,7.2
116,港诡实录 港詭實錄,https://www.douban.com/subject/30293812/,7.3
117,烟火 Firework,https://www.douban.com/subject/35098364/,8.7
118,山海旅人 THE REWINDER,https://www.douban.com/subject/34856698/,8.7
119,符石守护者 Runestone Keeper,https://www.douban.com/subject/26353949/,7.3
120,无尽之路 Endless Road,https://www.douban.com/subject/30267451/,6.7
